# 1: Detection or Track-id,  2: Video or Image Identifier,  3: Unique Frame Identifier,  4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),  8: Detection or Length Confidence,  9: Target Length (0 or -1 if invalid),  10-11+: Repeated Species, Confidence Pairs or Attributes
# Written on: Tue Oct 12 14:29:50 2021   by: write_object_track_set_viame_csv,,,,,,,,,,
659,20191216_122424_830_R.JPG,4,415,493,430,511,0.59572,0,penguin,0.59572
660,20191216_122424_830_R.JPG,4,23,438,38,455,0.59452,0,penguin,0.59452
661,20191216_122424_830_R.JPG,4,75,414,90,432,0.592718,0,penguin,0.592718
662,20191216_122424_830_R.JPG,4,2,473,18,490,0.591097,0,penguin,0.591097
663,20191216_122424_830_R.JPG,4,33,415,49,431,0.57653,0,penguin,0.57653
664,20191216_122424_830_R.JPG,4,87,494,105,511,0.575208,0,penguin,0.575208
665,20191216_122424_830_R.JPG,4,42,480,58,497,0.560947,0,penguin,0.560947
666,20191216_122424_830_R.JPG,4,23,471,39,488,0.556003,0,penguin,0.556003
667,20191216_122424_830_R.JPG,4,60,497,77,513,0.55421,0,penguin,0.55421
668,20191216_122424_830_R.JPG,4,258,393,271,410,0.525603,0,penguin,0.525603
669,20191216_122424_830_R.JPG,4,192,470,208,487,0.510872,0,penguin,0.510872
670,20191216_122424_830_R.JPG,4,39,452,56,468,0.49996,0,penguin,0.49996
671,20191216_122424_830_R.JPG,4,435,446,454,463,0.486354,0,penguin,0.486354
672,20191216_122424_830_R.JPG,4,173,500,189,516,0.484304,0,penguin,0.484304
673,20191216_122424_830_R.JPG,4,196,497,213,513,0.480527,0,penguin,0.480527
674,20191216_122424_830_R.JPG,4,294,315,308,333,0.469069,0,penguin,0.469069
675,20191216_122424_830_R.JPG,4,55,430,70,447,0.439587,0,penguin,0.439587
676,20191216_122424_830_R.JPG,4,279,497,295,514,0.438511,0,penguin,0.438511
677,20191216_122424_830_R.JPG,4,68,470,85,488,0.426274,0,penguin,0.426274
678,20191216_122424_830_R.JPG,4,159,455,175,472,0.415473,0,penguin,0.415473
679,20191216_122424_830_R.JPG,4,0,391,8,409,0.404628,0,penguin,0.404628
680,20191216_122424_830_R.JPG,4,0,497,16,513,0.404115,0,penguin,0.404115
681,20191216_122424_830_R.JPG,4,0,423,13,441,0.339645,0,penguin,0.339645
682,20191216_122424_830_R.JPG,4,82,445,96,464,0.298151,0,penguin,0.298151
683,20191216_122424_830_R.JPG,4,135,475,150,491,0.253312,0,penguin,0.253312
684,20191216_122424_830_R.JPG,4,366,464,379,483,0.110437,0,penguin,0.110437
685,20191216_122424_830_R.JPG,4,287,438,299,456,0.0602103,0,penguin,0.0602103
